,Date,Open,Time
0,9/4/2020,1.247,1586390400
1,14/04/2020,1.2594,1586822400
2,15/04/2020,1.2498,1586908800
3,16/04/2020,1.2451,1586995200
4,17/04/2020,1.2504,1587081600
5,20/04/2020,1.2473,1587340800
6,21/04/2020,1.2273,1587427200
7,22/04/2020,1.2329,1587513600
8,23/04/2020,1.2386,1587600000
9,24/04/2020,1.2338,1587686400
10,27/04/2020,1.2409,1587945600
11,28/04/2020,1.2436,1588032000
12,29/04/2020,1.2436,1588118400
13,30/04/2020,1.2613,1588204800
14,1/5/2020,1.2547,1588291200
15,4/5/2020,1.2421,1588550400
16,5/5/2020,1.2454,1588636800
17,6/5/2020,1.2362,1588723200
18,7/5/2020,1.2287,1588809600
19,11/5/2020,1.2358,1589155200
20,12/5/2020,1.233,1589241600
21,13/05/2020,1.2226,1589328000
22,14/05/2020,1.2199,1589414400
23,15/05/2020,1.2126,1589500800
24,18/05/2020,1.2192,1589760000
25,19/05/2020,1.2251,1589846400
26,20/05/2020,1.227,1589932800
27,21/05/2020,1.2212,1590019200
28,22/05/2020,1.219,1590105600
29,26/05/2020,1.2363,1590451200
30,27/05/2020,1.2217,1590537600
31,28/05/2020,1.2323,1590624000
32,29/05/2020,1.2368,1590710400
33,1/6/2020,1.2481,1590969600
34,2/6/2020,1.2557,1591056000
35,3/6/2020,1.2597,1591142400
36,4/6/2020,1.2607,1591228800
37,5/6/2020,1.2725,1591315200
38,8/6/2020,1.2698,1591574400
39,9/6/2020,1.2722,1591660800
40,10/6/2020,1.2755,1591747200
41,11/6/2020,1.2645,1591833600
42,12/6/2020,1.2539,1591920000
43,15/06/2020,1.2559,1592179200
44,16/06/2020,1.2583,1592265600
45,17/06/2020,1.2545,1592352000
46,18/06/2020,1.242,1592438400
47,19/06/2020,1.2361,1592524800
48,22/06/2020,1.2448,1592784000
49,23/06/2020,1.252,1592870400
50,24/06/2020,1.245,1592956800
51,25/06/2020,1.2406,1593043200
52,26/06/2020,1.232,1593129600
53,29/06/2020,1.2268,1593388800
54,30/06/2020,1.2359,1593475200
55,1/7/2020,1.2458,1593561600
56,2/7/2020,1.2466,1593648000
57,3/7/2020,1.2468,1593734400
58,6/7/2020,1.2509,1593993600
59,7/7/2020,1.2575,1594080000
60,8/7/2020,1.2596,1594166400
61,9/7/2020,1.2615,1594252800
62,10/7/2020,1.2662,1594339200
63,13/07/2020,1.2619,1594598400
64,14/07/2020,1.253,1594684800
65,15/07/2020,1.2623,1594771200
66,16/07/2020,1.2597,1594857600
67,17/07/2020,1.2536,1594944000
68,20/07/2020,1.2647,1595203200
69,21/07/2020,1.2749,1595289600
70,22/07/2020,1.2732,1595376000
71,23/07/2020,1.2746,1595462400
72,24/07/2020,1.2789,1595548800
73,27/07/2020,1.2895,1595808000
74,28/07/2020,1.2947,1595894400
75,29/07/2020,1.2966,1595980800
76,30/07/2020,1.3046,1596067200
77,31/07/2020,1.3126,1596153600
78,3/8/2020,1.3032,1596412800
79,4/8/2020,1.3079,1596499200
80,5/8/2020,1.3143,1596585600
81,6/8/2020,1.3143,1596672000
82,7/8/2020,1.3051,1596758400
83,10/8/2020,1.3089,1597017600
84,11/8/2020,1.3087,1597104000
85,12/8/2020,1.3058,1597190400
86,13/08/2020,1.3096,1597276800
87,14/08/2020,1.311,1597363200
88,17/08/2020,1.3099,1597622400
89,18/08/2020,1.3223,1597708800
90,19/08/2020,1.3182,1597795200
91,20/08/2020,1.3144,1597881600
92,21/08/2020,1.3073,1597968000
93,24/08/2020,1.3071,1598227200
94,25/08/2020,1.3118,1598313600
95,26/08/2020,1.3193,1598400000
96,27/08/2020,1.3189,1598486400
97,28/08/2020,1.333,1598572800
98,1/9/2020,1.345,1598918400
99,2/9/2020,1.3303,1599004800
100,3/9/2020,1.3271,1599091200
101,4/9/2020,1.3199,1599177600
102,7/9/2020,1.3177,1599436800
103,8/9/2020,1.3023,1599523200
104,9/9/2020,1.2996,1599609600
105,10/9/2020,1.2867,1599696000
106,11/9/2020,1.2782,1599782400
107,14/09/2020,1.2883,1600041600
108,15/09/2020,1.2854,1600128000
109,16/09/2020,1.3006,1600214400
110,17/09/2020,1.2952,1600300800
111,18/09/2020,1.2962,1600387200
112,21/09/2020,1.2795,1600646400
113,22/09/2020,1.2721,1600732800
114,23/09/2020,1.2765,1600819200
115,24/09/2020,1.2714,1600905600
116,25/09/2020,1.2705,1600992000
117,28/09/2020,1.2842,1601251200
118,29/09/2020,1.2842,1601337600
119,30/09/2020,1.2924,1601424000
120,1/10/2020,1.287,1601510400
121,2/10/2020,1.2932,1601596800
122,5/10/2020,1.2974,1601856000
123,6/10/2020,1.2963,1601942400
124,7/10/2020,1.2895,1602028800
125,8/10/2020,1.2928,1602115200
126,9/10/2020,1.2994,1602201600
127,12/10/2020,1.307,1602460800
128,13/10/2020,1.2987,1602547200
129,14/10/2020,1.3041,1602633600
130,15/10/2020,1.2906,1602720000
131,16/10/2020,1.293,1602806400
132,19/10/2020,1.2997,1603065600
133,20/10/2020,1.2962,1603152000
134,21/10/2020,1.3163,1603238400
135,22/10/2020,1.3095,1603324800
136,23/10/2020,1.3047,1603411200
137,26/10/2020,1.302,1603670400
138,27/10/2020,1.3066,1603756800
139,28/10/2020,1.2994,1603843200
140,29/10/2020,1.2905,1603929600
141,30/10/2020,1.2933,1604016000
142,2/11/2020,1.2904,1604275200
143,3/11/2020,1.3071,1604361600
144,4/11/2020,1.2994,1604448000
145,5/11/2020,1.3022,1604534400
146,6/11/2020,1.316,1604620800
147,9/11/2020,1.315,1604880000
148,10/11/2020,1.325,1604966400
149,11/11/2020,1.3197,1605052800
150,12/11/2020,1.3129,1605139200
151,13/11/2020,1.3159,1605225600
152,16/11/2020,1.3176,1605484800
153,17/11/2020,1.326,1605571200
154,18/11/2020,1.3302,1605657600
155,19/11/2020,1.3226,1605744000
156,20/11/2020,1.3286,1605830400
157,23/11/2020,1.3294,1606089600
158,24/11/2020,1.3355,1606176000
159,25/11/2020,1.3379,1606262400
160,26/11/2020,1.333,1606348800
161,27/11/2020,1.3344,1606435200
162,30/11/2020,1.3353,1606694400
163,1/12/2020,1.3364,1606780800
164,2/12/2020,1.3326,1606867200
165,3/12/2020,1.3497,1606953600
166,4/12/2020,1.3473,1607040000
167,7/12/2020,1.3313,1607299200
168,8/12/2020,1.3361,1607385600
169,9/12/2020,1.3396,1607472000
170,10/12/2020,1.3275,1607558400
171,11/12/2020,1.3216,1607644800
172,14/12/2020,1.333,1607904000
173,15/12/2020,1.3448,1607990400
174,16/12/2020,1.3495,1608076800
175,17/12/2020,1.3591,1608163200
176,18/12/2020,1.3485,1608249600
177,21/12/2020,1.3314,1608508800
178,22/12/2020,1.3322,1608595200
179,23/12/2020,1.3522,1608681600
180,24/12/2020,1.3588,1608768000
181,29/12/2020,1.3494,1609200000
182,30/12/2020,1.3608,1609286400
183,31/12/2020,1.3649,1609372800
184,4/1/2021,1.3579,1609718400
185,5/1/2021,1.3593,1609804800
186,6/1/2021,1.355,1609891200
187,7/1/2021,1.3544,1609977600
188,8/1/2021,1.359,1610064000
189,11/1/2021,1.3492,1610323200
190,12/1/2021,1.3624,1610409600
191,13/01/2021,1.3634,1610496000
192,14/01/2021,1.3691,1610582400
193,15/01/2021,1.3585,1610668800
194,18/01/2021,1.3575,1610928000
195,19/01/2021,1.3618,1611014400
196,20/01/2021,1.363,1611100800
197,21/01/2021,1.372,1611187200
198,22/01/2021,1.367,1611273600
199,25/01/2021,1.3671,1611532800
200,26/01/2021,1.3742,1611619200
201,27/01/2021,1.3704,1611705600
202,28/01/2021,1.3719,1611792000
203,29/01/2021,1.3728,1611878400
204,1/2/2021,1.3663,1612137600
205,2/2/2021,1.3629,1612224000
206,3/2/2021,1.3644,1612310400
